RegionName,State,Metro,CountyName,2018-12
Waterloo,IA,Waterloo-Cedar Falls,Black Hawk County,485
Palm Beach Gardens,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1500
Centreville,VA,Washington-Arlington-Alexandria,Fairfax County,1518.5
Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2200
Union City,NJ,New York-Newark-Jersey City,Hudson County,1395
Jupiter,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1650
Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2995
Mount Vernon,NY,New York-Newark-Jersey City,Westchester County,1575
Ames,IA,Ames,Story County,795
Daytona Beach,FL,Deltona-Daytona Beach-Ormond Beach,Volusia County,800
Manhattan,KS,Manhattan,Riley County,650
Woodbury,MN,Minneapolis-St. Paul-Bloomington,Washington County,1380
Portland,ME,Portland-South Portland,Cumberland County,1350
Lakewood,WA,Seattle-Tacoma-Bellevue,Pierce County,1120
